rank,gene,score
1,AV356131,0.004697
2,ARHGAP10,0.004319
3,Car4,0.004175
4,Adrb2,0.004034
5,CERS1,0.003958
6,Cfh,0.003905
7,Calml4,0.003889
8,Casp1,0.003881
9,Crabp1,0.003852
10,Bnc2,0.003848
11,COLEC12,0.003823
12,Cmah,0.003693
13,C130083M11Rik,0.003692
14,Cd36,0.003616
15,C1qtnf2,0.003575
16,AW551984,0.003520
17,ARL4C,0.003486
18,Cyp26b1,0.003461
19,Birc7,0.003449
20,Cdca3,0.003389
21,B230209E15Rik,0.003384
22,Cpne3,0.003353
23,Crybb1,0.003344
24,Antxr1,0.003334
25,Ccl20,0.003266
26,Acss3,0.003229
27,C1QTNF1,0.003228
28,C2cd4a,0.003216
29,CRELD2,0.003195
30,Bcas1,0.003165
