rank,gene,score
1,CTSB,0.272242
2,PROS1,0.138030
3,C3,0.136886
4,C9,0.114471
5,IGHA1,0.114344
6,ANGPTL3,0.035417
7,PPARA,0.034805
8,EEF1A1,0.014595
9,Cps1,0.013443
10,ITGB3BP,0.012715
11,ARHGAP15,0.011310
12,COL1A2,0.009380
13,NCAM1,0.008136
14,IGKC,0.006705
15,EVL,0.006639
16,HBA2,0.005435
17,SKAP1,0.005434
18,IGHG3,0.004515
19,IGHG1,0.003859
20,THBS1,0.003298
21,RNASE1,0.003249
22,DVL2,0.002644
23,IGHM,0.002520
24,ANPEP,0.002402
25,LARP4,0.002127
26,YKT6,0.002083
27,IGLC2,0.001878
28,TCF7L2,0.001862
29,COL6A2,0.001362
30,CMTM7,0.001123
